Fields,Output File Name,Input from?,Type,Formula,Notes
"Date","Ad Set Level.csv","Shopify Export","Date","As is from input file column name Date",""
"Campaign name","Ad Set Level.csv","Shopify Export","Text","PRIMARY GROUP: UTM Campaign (Campaign Name)",""
"Ad Set Name","Ad Set Level.csv","Shopify Export","Text","SECONDARY GROUP: UTM Term (AdSet Name equivalent)",""
"Ad Set Delivery","Ad Set Level.csv","Meta Ads","Text","As is from input file column name Ad Set Delivery",""
"Ad Set Level Spent","Ad Set Level.csv","Meta Ads","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv and match it to meta ads  Amount spent (INR)",""
"Ad Set Level Users","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Online store visitors",""
"Cost per user","Ad Set Level.csv","Calculate","Number","Ad Set Level Users / Ad Set Level Spent",""
"Ad Set Level ATC","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Sessions with cart additions",""
"Ad Set Level Reached Checkout","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Sessions that reached checkout",""
"Ad Set Level Conversions","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Sessions that completed checkout",""
"Ad Set Level Average session duration","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Average session duration",""
"Ad Set Level Users with Session above 1 min","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Online store visitors Limit the sum and filter out the users whose session duration is above one minute.","Count users with session duration > 1 minute"
"Ad Set Level Cost per 1 min user","Ad Set Level.csv","Calculate","Number","Ad Set Level Users with Session above 1 min / Ad Set Level Spent",""
"Ad Set Level 1min user/ total users (%)","Ad Set Level.csv","Calculate","Number","Percentage of (Ad Set Level Users with Session above 1 min / Ad Set Level Users)",""
"Ad Set Level ATC with session duration above 1 min","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Sessions with cart additions, Limit the sum and filter out the users whose session duration is above one minute.",""
"Ad Set Level Reached Checkout with session duration above 1 min","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Sessions that reached checkout, Limit the sum and filter out the users whose session duration is above one minute.",""
"Ad Set Level Users with Above 5 page views and above 1 min","Ad Set Level.csv","Shopify Export","Number","Look up the appropriate campaign name and ads set name from pivot_temp.csv SUM: All numeric field of Pageviews, Limit the sum and filter out the users whose session duration is above one minute and have page views above 5",""
"Date","Top Level Daily.csv","Meta Ads","Date","From “Reporting ends”",""
"Meta Spend","Top Level Daily.csv","Meta Ads","Number","SUM: All numeric field of Amount spent (INR)",""
"Meta CTR","Top Level Daily.csv","Meta Ads","Number","AVERAGE: CTR (link click-through rate)",""
"Meta CPM","Top Level Daily.csv","Meta Ads","Number","AVERAGE: CPM (cost per 1,000 impressions)",""
"Google Spend","Top Level Daily.csv","Google Ads","Number","SUM: All numeric field of Cost",""
"Google CTR","Top Level Daily.csv","Google Ads","Number","AVERAGE: CTR",""
"Google CPM","Top Level Daily.csv","Google Ads","Number","AVERAGE: Avg. CPM",""
"Total Users","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Online store visitors",""
"Total ATC","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Sessions with cart additions",""
"Total Reached Checkout","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Sessions that reached checkout",""
"Total Abandoned Checkout","Top Level Daily.csv","Manual","Number","",""
"Session Duration","Top Level Daily.csv","Shopify Export","Number","AVERAGE: Average session duration",""
"Users with Session above 1 min","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Online store visitors Limit the sum and filter out the users whose session duration is above one minute.",""
"Users with Above 5 page views and above 1 min","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Online store visitors Limit the sum and filter out the users whose session duration is above one minute and pageviews is more than 5.",""
"ATC with session duration above 1 min","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Sessions with cart additions Limit the sum and filter out the users whose session duration is above one minute.",""
"Reached Checkout with session duration above 1 min","Top Level Daily.csv","Shopify Export","Number","SUM: All numeric field of Sessions that reached checkout Limit the sum and filter out the users whose session duration is above one minute.",""
