UTM campaign,UTM term,Landing page URL,Online store visitors,Pageviews,Sessions that reached checkout,Sessions that completed checkout,Sessions with cart additions,Average session duration,Online store visitors (previous_period),Pageviews (previous_period),Sessions that reached checkout (previous_period),Sessions that completed checkout (previous_period),Sessions with cart additions (previous_period),Average session duration (previous_period)
BOF | DPA,ATC/VC,https://vibewithmoi.in/products/eve-gold-and-diamond-hoops/?variant=51171517464883&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=ATC%2FVC&placement=Facebook_Mobile_Feed&utm_id=23856414138770674_v2_s03&fbclid=IwZXh0bgNhZW0BMABhZGlkAasW3S7C7uMBHitSa9gynG9kAWZs89OdoPdRiiNz07CyqiwkpONsHASR3Vc2WXireIKT9ZW__aem_66h4su_7JIIOmaiDi3KJcQ&campaign_id=23856414138770674&ad_id=23856414139330674,0,0,0,0,0,,2,5,0,0,0,6.5
BOF | DPA,ATC/VC_1 Day,https://vibewithmoi.in/products/eve-gold-and-diamond-hoops/?variant=51171517464883&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=ATC%2FVC_1+Day&placement=Facebook_Mobile_Feed&utm_id=23856414138770674_v2_s03&fbclid=IwYW9leAMi1jRleHRuA2FlbQEwAGFkaWQBqxUEqmHUYwEeBCVy0J4zxfj5fNwCSgB_PrG87eo54eQg0zS8z6Ds9X4lJi4BpbY8htysXic_aem_HfL7HblHy4uil3nAJvh7kQ&campaign_id=23856414138770674&ad_id=120209463877600675,1,1,0,0,0,0.0,1,1,0,0,0,0.0
BOF | DPA,ATC/VC_180 Days,https://vibewithmoi.in/products/daphne-necklace-with-malachite-bars-rose-cut-accents-and-gold-chain/?variant=52326945980723&utm_source=facebook&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=ATC%2FVC_180+Days&placement=Instagram_Feed&utm_id=23856414138770674_v2_s07_e7318&campaign_id=23856414138770674&ad_id=120211725293070675,8,14,0,0,0,,2,2,0,0,0,
BOF | DPA,ATC/VC_30 Days,https://vibewithmoi.in/products/miray-silver-and-diamond-bracelet/?variant=34894314930221&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=ATC%2FVC_30+Days&placement=Facebook_Mobile_Feed&utm_id=23856414138770674_v2_s01&fbclid=IwZXh0bgNhZW0BMABhZGlkAasnSy0rasMBHib-f1Uiu5Ai2MG9_UefgGrJE3gAcCKYjRAAeUMMKyDvdfK9WxkWVG_OURNi_aem_uti2GCiQxTRd_DX7Ag-9Nw&campaign_id=23856414138770674&ad_id=23856414139330674,1,1,0,0,0,0.0,0,0,0,0,0,
BOF | DPA,VC,https://vibewithmoi.in/products/clara-necklace-with-green-amethyst-sapphire-and-tsavorite-tawiz-units?variant=41985683882047&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+&placement=Instagram_Feed&utm_id=120224750628680313_v2_s11_e7378&fbclid=PAQ0xDSwMvkb5leHRuA2FlbQEwAGFkaWQBqyFo3mKdiQGntqGZnM3po1hdAUhrFQ3QpD2qdM_uqvx3GSe-BoB6zlKYGo3h6PstcPhuvRU_aem_ykBZpFZ_-M2_cbqsFwdtQw&campaign_id=120224750628680313&ad_id=120224910558280313,1,2,0,0,0,,1,3,0,0,0,
BOF | DPA,VC ,https://vibewithmoi.in/products/dakota-gold-diamond-and-amethyst-mini-earrings?variant=41538036367423&utm_source=ig&utm_medium=paid&utm_campaign=BOF%20|%20DPA&utm_content=DPA&utm_term=VC%20&%20ATC_14%20Days%20-%20IG&placement=Instagram_Reels&utm_id=23856507113650312_v2_s66_e14_i20250920&fbclid=PAZXh0bgNhZW0BMABhZGlkAashaQEnrWkBp3Pzz30sttmBBmoqh7HugxmoWLmbb97ovCQ-FOdHH4QN1tgkq1LMxgHmXgr4_aem_bf1RXM2rp7pyY3_XV4SYeg&campaign_id=23856507113650312&ad_id=23856527722090312,4992,9139,6,0,18,,4143,7837,3,0,12,
BOF | DPA,VC & ATC_1 Day - FB,https://vibewithmoi.in/products/shakti-gold-diamond-and-gemstone-necklace?variant=39999401787455&utm_source=fb&utm_medium=paid&utm_campaign=BOF%20%7C%20DPA&utm_content=DPA&utm_term=VC%20%26%20ATC_1%20Day%20-%20FB&placement=Facebook_Mobile_Feed&utm_id=23856507113650312_v2_s12_e7383&fbclid=IwdGRzaAM6SgBleHRuA2FlbQEwAGFkaWQBqxVMUj0yyQEeuJQnztUpzM1fa5KmomRRZKbLtKndajFTq_7svpgSQ58DKThONavq_fs6dm0_aem_wA9Fxr2lNKdHAx_LB9AMVg&campaign_id=23856507113650312&ad_id=120208891502090313&sfnsn=wiwspwa,1015,2099,1,0,4,,1168,2310,1,1,5,
BOF | DPA,VC & ATC_1 Day - IG,https://vibewithmoi.in/products/elanor-gold-and-diamond-ear-studs?variant=41537201209407&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_1+Day+-+IG&placement=Instagram_Feed&utm_id=23856507113650312_v2_s02_e283&fbclid=PAZXh0bgNhZW0BMABhZGlkAashaQFG9TkBp2SfneQCMJMQzqdugA8i34PA7OnKiAdGL20Inpp72JvdkY7y7nsdX-QS707-_aem_5mcsdGOAttnMKnrBTPPjrQ&campaign_id=23856507113650312&ad_id=120208891502100313#MainContent,1412,2712,7,0,14,,1560,3209,4,0,13,
BOF | DPA,VC & ATC_1 Day - IGi,https://vibewithmoi.in/products/adele-gold-diamond-and-emerald-earrings?variant=40304668016703&utm_source=ig&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_1+Day+-+IGi&placement=Instagram_Feed&utm_id=120224750628680313_v2_s05_e7379_c1&fbclid=PAZnRzaAMx3z5leHRuA2FlbQEwAGFkaWQBqyFo3rNVmQGnPe2NRLWr7uStLdqJAwF5aJ1EBPpUZCitbT9qR5z6ZLejCOkMWmC38BOJDOY_aem_izLu1DrJlhbP_cbjI9rffw&campaign_id=120224750628680313&ad_id=120224750628670313,1220,2511,2,1,4,,873,2018,3,0,8,
BOF | DPA,VC & ATC_14 Days - FB,https://vibewithmoi.in/products/cairo-gold-silver-diamond-and-purple-amethyst-earrings?variant=41375212929087&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_14+Days+-+FB&placement=Facebook_Mobile_Feed&campaign_id=23856507113650312&ad_id=23856527722080312&utm_id=23856507113650312_v2_s07_e7347,3047,5778,5,0,11,,2174,4140,6,0,15,
